Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Start Quantity),Custom field (Rejected Quantity),Custom field (Conclusion),Custom field (Sheet Numbers),Custom field (Rejected Sensors),Time Spent
QAG - Wearable Line - Dispense,QAG-465,35704,LN-Q00186,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Disposition,02/Jan/26 9:01 AM,190.0,60.0,"Dispense looks ok across the 4 sheets. This was the first Dispense Techs did unsupervised. Top spot is slightly high on most sensors. 

The lot report failed 66 sensors. Upon review I have failed 60 sensors. 
27 Sensors failed due to Spot on Dielectric 
12 sensors failed due to excess Dielectric spot 
12 sensors failed due to Fibres
6 Sensors failed due to Blurred Image 
2 failed for None centralized spots 
1 failed for lumps ","Z32D-590, Z32D-591, Z32D-592, Z32D-593","||*Sensor*||*Failure Mode*||
|Z32D-590-A2|Other (Poor Dispense)|
|Z32D-590-A3|Other (Poor Dispense)|
|Z32D-590-A4|Fibre|
|Z32D-590-A5|Spots on Dielectric|
|Z32D-590-A6|Other (Poor Dispense)|
|Z32D-590-A8|Spots on Dielectric|
|Z32D-590-B2|Bent Sheet - Blurry Image|
|Z32D-590-B4|Other (Poor Dispense)|
|Z32D-590-B5|Other (Poor Dispense)|
|Z32D-590-C2|Fibre|
|Z32D-590-C3|Other (Poor Dispense)|
|Z32D-590-C4|Other (Poor Dispense)|
|Z32D-590-C5|Other (Poor Dispense)|
|Z32D-590-C6|Spots on Dielectric|
|Z32D-590-C7|Other (Poor Dispense)|
|Z32D-590-C8|Spots on Dielectric|
|Z32D-590-D3|Spots on Dielectric|
|Z32D-590-E1|Fibre|
|Z32D-590-E3|Bent Sheet - Blurry Image|
|Z32D-590-E7|Spots on Dielectric|
|Z32D-590-F1|Non-centralized Spots|
|Z32D-591-A4|Spots on Dielectric|
|Z32D-591-A5|Spots on Dielectric|
|Z32D-591-A7|Spots on Dielectric|
|Z32D-591-B1|Bent Sheet - Blurry Image|
|Z32D-591-B6|Spots on Dielectric|
|Z32D-591-C1|Bent Sheet - Blurry Image|
|Z32D-591-C2|Bent Sheet - Blurry Image|
|Z32D-591-C5|Spots on Dielectric|
|Z32D-591-C8|Other (Poor Dispense)|
|Z32D-591-D1|Spots on Dielectric|
|Z32D-591-D2|Spots on Dielectric|
|Z32D-591-D8|Fibre|
|Z32D-591-E2|Fibre|
|Z32D-592-A2|Bent Sheet - Blurry Image|
|Z32D-592-A3|Spots on Dielectric|
|Z32D-592-A4|Spots on Dielectric|
|Z32D-592-B3|Spots on Dielectric|
|Z32D-592-B4|Fibre|
|Z32D-592-C2|Spots on Dielectric|
|Z32D-592-C3|Spots on Dielectric|
|Z32D-592-C5|Spots on Dielectric|
|Z32D-592-C8|Spots on Dielectric|
|Z32D-592-D4|Fibre|
|Z32D-592-D5|Fibre|
|Z32D-592-D7|Fibre|
|Z32D-592-E1|Non-centralized Spots|
|Z32D-592-E5|Spots on Dielectric|
|Z32D-592-E6|Spots on Dielectric|
|Z32D-592-E7|Lumps|
|Z32D-593-A1|Spots on Dielectric|
|Z32D-593-A2|Other (Poor Dispense)|
|Z32D-593-A3|Spots on Dielectric|
|Z32D-593-A7|Spots on Dielectric|
|Z32D-593-C4|Spots on Dielectric|
|Z32D-593-C7|Spots on Dielectric|
|Z32D-593-D5|Fibre|
|Z32D-593-D7|Fibre|
|Z32D-593-F7|Fibre|
|Z32D-593-F8|Other (Poor Dispense)|",
QAG - Wearable Line - In Vitro,QAG-464,35669,LN-AX00203/204,Ryan Harrison,712020:7cb0df07-b1d1-479a-87ab-c5dc3da859d2,Release,31/Dec/25 10:29 AM,103.0,62.0,"25 Sensors Passed All IV Metrics

16 Sensors were “Borderline” - Sensitivity between (0.35 - 0.4)

19 Sensors Missing Data - Have been Passed to Final Inspection due to timelines - refer to final inspection for P/F of these units. 

All Sensors above have been moved to accepted.

43 Sensors Failed IV Metrics","* Z32A-514
* Z32A-560
* Z32A-561
* Z32A-562
* Z32A-564
* Z32A-559
* Z32D-580
* Z32D-581","||*LN - IV*||*sensor_id*||*Fail Reason*||
|LN-AX00203|Z32A-552-F7|MARD|
|LN-AX00203|Z32A-560-A6|MARD, R2, Tau, CV|
|LN-AX00203|Z32A-560-C2|MARD, R2, CV, Sensitivity|
|LN-AX00203|Z32A-561-B1|MARD, Tau|
|LN-AX00203|Z32A-562-A6|MARD, R2, Tau, CV, Sensitivity|
|LN-AX00203|Z32A-562-B4|MARD, R2, Tau, CV, SE|
|LN-AX00203|Z32A-564-A4|MARD, R2, Tau, CV, Sensitivity|
|LN-AX00203|Z32A-564-B3|SE|
|LN-AX00203|Z32A-564-B6|MARD, R2, CV, SE|
|LN-AX00203|Z32A-564-C3|SE|
|LN-AX00203|Z32A-564-C5|SE|
|LN-AX00203|Z32A-564-C8|Sensitivity|
|LN-AX00204|Z32A-514-F6|MARD, R2|
|LN-AX00204|Z32A-550-A3|MARD, R2, CV, Sensitivity|
|LN-AX00204|Z32A-559-A1|MARD|
|LN-AX00204|Z32A-559-A3|MARD|
|LN-AX00204|Z32A-559-A8|MARD|
|LN-AX00204|Z32A-559-B4|MARD|
|LN-AX00204|Z32A-559-C7|MARD, R2, Tau, CV, SE, Sensitivity|
|LN-AX00204|Z32A-559-D7|MARD, R2, Tau, CV, Sensitivity|
|LN-AX00204|Z32A-559-F8|MARD, R2, Tau, CV|
|LN-AX00204|Z32A-564-F8|MARD, R2|
|LN-AX00204|Z32D-580-A2|MARD, R2|
|LN-AX00204|Z32D-580-A7|MARD, R2|
|LN-AX00204|Z32D-580-B5|MARD, R2, CV|
|LN-AX00204|Z32D-580-B7|R2|
|LN-AX00204|Z32D-580-C3|R2, Tau|
|LN-AX00204|Z32D-580-C8|MARD, R2, Tau, CV, Sensitivity|
|LN-AX00204|Z32D-580-E2|MARD, Sensitivity|
|LN-AX00204|Z32D-580-E5|MARD, R2, Tau|
|LN-AX00204|Z32D-581-B1|MARD, R2, Tau, CV, SE, Sensitivity|
|LN-AX00204|Z32D-581-B2|Tau|
|LN-AX00204|Z32D-581-B3|SE|
|LN-AX00204|Z32D-581-B8|Tau, Sensitivity|
|LN-AX00204|Z32D-581-C3|SE|
|LN-AX00204|Z32D-581-C5|Tau|
|LN-AX00204|Z32D-581-C6|MARD|
|LN-AX00204|Z32D-581-D4|Sensitivity|
|LN-AX00204|Z32D-581-E2|Tau|
|LN-AX00204|Z32D-581-E4|SE|
|LN-AX00204|Z32D-581-E6|Sensitivity|
|LN-AX00204|Z32D-581-F5|R2, Sensitivity|
|LN-AX00204|Z32D-581-F8|SE|

||*LN - IV*||*Sensor ID*||*Result*||
|LN-AX00203|Z32A-552-B2|Data can’t be processed|
|LN-AX00203|Z32A-560-A3|Data can’t be processed|
|LN-AX00203|Z32A-560-B6|Data can’t be processed|
|LN-AX00203|Z32A-560-B7|Data can’t be processed|
|LN-AX00203|Z32A-561-A7|Data can’t be processed|
|LN-AX00203|Z32A-561-C6|Data can’t be processed|
|LN-AX00203|Z32A-562-A3|Data can’t be processed|
|LN-AX00203|Z32A-562-B3|Data can’t be processed|
|LN-AX00203|Z32A-562-B6|Data can’t be processed|
|LN-AX00203|Z32A-562-C5|Data can’t be processed|
|LN-AX00203|Z32A-562-F7|Data can’t be processed|
|LN-AX00204|Z32A-559-B5|Data can’t be processed|
|LN-AX00204|Z32A-559-C5|Data can’t be processed|
|LN-AX00204|Z32A-559-C6|Data can’t be processed|
|LN-AX00204|Z32D-580-C4|Data can’t be processed|
|LN-AX00204|Z32D-580-D2|Data can’t be processed|
|LN-AX00204|Z32D-580-F6|Data can’t be processed|
|LN-AX00204|Z32D-580-F7|Data can’t be processed|
|LN-AX00204|Z32D-581-A4|Data can’t be processed|",
QAG - Wearable Line - Screen Print,QAG-463,35667,LN-P00186,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,In Progress,31/Dec/25 8:50 AM,768.0,,,"Z32D-590

Z32D-591

Z32D-592

Z32D-593

Z32D-594

Z32D-595

Z32D-596

Z32D-597

Z32D-598

Z32D-599
Z32D-600

Z32D-601

Z32D-602

Z32D-603

Z32D-604

Z32D-605",,
QAG - Wearable Line - Screen Print,QAG-461,35665,LN-P00182,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Disposition,31/Dec/25 8:50 AM,144.0,45.0,"Print looks good. 5 Sensors require SME review.  
39 sensors rejected:
15 Sensors failed due to Fibres 
5 Sensors failed due to Lumps/Excessive Ink 
5 Sensors failed due to Blurry Images 
4 Sensors failed due to Sensor being removed 
3 Sensors failed due to Height 
2 Sensors failed due to Background Interference 
2 Sensors failed due to Bent Needles 
2 Sensors failed due to No Measurement 
1 Sensor failed due to Measurement error 

!image-20260119-160907.png|width=781,alt=""image-20260119-160907.png""!","Z32D-580, Z32D-581, Z32D-582","||*Sensor ID*||*Failure Mode*||
|Z32D-580-A1|Sensor Removed|
|Z32D-580-A3|Fibre|
|Z32D-580-A5|Sensor Removed|
|Z32D-580-B1|Fibre|
|Z32D-580-B2|Fibre|
|Z32D-580-B4|Fibre|
|Z32D-580-B8|Excessive Ink or Lumps|
|Z32D-580-C5|Bent Sheet - Blurry Images|
|Z32D-580-C7|Fibre|
|Z32D-580-D5|Fibre|
|Z32D-580-D6|Fibre|
|Z32D-580-D7|Fibre|
|Z32D-580-E6|Height |
|Z32D-580-E7|Background Measurement Interference|
|Z32D-580-E8|Sensor Removed|
|Z32D-580-F1|Sensor Removed|
|Z32D-580-F3|Bent Needle |
|Z32D-580-F4|Excessive Ink or Lumps|
|Z32D-580-F8|Bent Needle |
|Z32D-581-A1|Bent Sheet - Blurry Images|
|Z32D-581-A2|Bent Sheet - Blurry Images|
|Z32D-581-A6|Fibre|
|Z32D-581-A7|Fibre|
|Z32D-581-A8|Bent Sheet - Blurry Images|
|Z32D-581-B6|Fibre|
|Z32D-581-B7|Excessive Ink or Lumps|
|Z32D-581-C4|Fibre|
|Z32D-581-D1|Sensor Removed|
|Z32D-581-D2|Fibre|
|Z32D-581-E1|No Measurements|
|Z32D-581-E5|Excessive Ink or Lumps|
|Z32D-581-E8|Bent Sheet - Blurry Images|
|Z32D-581-F3|Fibre|
|Z32D-581-F4|Fibre|
|Z32D-582-A4|Excessive Ink or Lumps|
|Z32D-582-A6|No Measurements|
|Z32D-582-B3|Background Measurement Interference|
|Z32D-582-C4|Height |
|Z32D-582-C5|Excessive Ink or Lumps|
|Z32D-582-C7|Fibre|
|Z32D-582-D4|Height |
|Z32D-582-E1|Fibre|
|Z32D-582-F3|Fibre|
|Z32D-582-F4|Bent Sheet - Blurry Images|
|Z32D-582-F5|Measurement Error|",
QAG - Wearable Line - Outer Layer,QAG-460,35165,LN-R00177,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Release,22/Dec/25 10:11 AM,131.0,31.0,"22 sensors have been failed. 
16 sensors failed due to mean thickness 
3 sensors were marked as passes for Post, these were removed at Pre due to fibres 
2 sensors had bent/splayed needles 
1 sensor for a fibre ","Z32A-559, Z32A-560, Z32A-561, Z32A-562, Z32A-564
Z32D-581, Z32D-580","||*Sensor*||*Failure Mode*||
|Z32A-560-A2|Mean WE Thickness|
|Z32A-560-B3|Mean WE Thickness|
|Z32A-560-B5|Mean WE Thickness|
|Z32A-560-B7|Mean WE Thickness|
|Z32A-560-C6|Mean WE Thickness|
|Z32A-561-B1|Mean WE Thickness|
|Z32A-561-B4|Fibre|
|Z32A-561-B5|Mean WE Thickness|
|Z32A-561-B7|Mean WE Thickness|
|Z32A-561-C7|Mean WE Thickness|
|Z32A-562-C5|Mean WE Thickness|
|Z32A-562-C8|Mean WE Thickness|
|Z32A-564-C7|Mean WE Thickness|
|Z32A-564-C8|Mean WE Thickness|
|Z32D-580-A8|Sensor Removed|
|Z32D-580-B2|Sensor Removed|
|Z32D-580-B3|Sensor Removed|
|Z32D-581-A5|Mean WE Thickness|
|Z32D-581-E2|Mean WE Thickness|
|Z32A-559-A8|Bent Needle|
|Z32A-559-C5|Bent Needle|
|Z32A-559-C6|Mean WE Thickness|",
QAG - Wearable Line - In Vitro,QAG-459,35119,LN-AX00199 (BIODOT UNITS),Ryan Muir,712020:527b70eb-c30b-436b-803c-9d2860b0e0cf,Release,19/Dec/25 11:15 AM,41.0,25.0,"Poor yield, 16/41 passing expanded performance metrics.

First attempt at in-vitro testing units dispensed by Biodot, so I am not applying rigorous review to save sensors and ship a higher quantity. This adheres to QC tier 2 (30% expansion to performance metrics).","Z32A-514,552","|LN - IV|sensor_id|Expanded MARD|Expanded R2|Expanded SE|RESULT|
|LN-AX00199|Z32A-514-A3|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-514-B5|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-514-B6|FAIL|PASS|FAIL|FAIL|
|LN-AX00199|Z32A-514-B7|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-514-C2|FAIL|PASS|PASS|FAIL|
|LN-AX00199|Z32A-514-D1|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-514-D2|FAIL|PASS|PASS|FAIL|
|LN-AX00199|Z32A-552-A1|PASS|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-A7|FAIL|PASS|FAIL|FAIL|
|LN-AX00199|Z32A-552-B3|FAIL|PASS|PASS|FAIL|
|LN-AX00199|Z32A-552-B5|FAIL|PASS|FAIL|FAIL|
|LN-AX00199|Z32A-552-B6|FAIL|PASS|PASS|FAIL|
|LN-AX00199|Z32A-552-B8|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-C2|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-C3|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-C5|FAIL|PASS|PASS|FAIL|
|LN-AX00199|Z32A-552-C6|FAIL|PASS|FAIL|FAIL|
|LN-AX00199|Z32A-552-C8|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-D2|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-D3|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-D5|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-E4|FAIL|FAIL|FAIL|FAIL|
|LN-AX00199|Z32A-552-E7|FAIL|PASS|FAIL|FAIL|",
QAG - Wearable Line - Screen Print,QAG-458,35055,LN-P00179,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Approvals,18/Dec/25 3:15 PM,528.0,183.0,"Lot report failed 151 sensors. Upon review of passed and failed sensors I have failed 183. 
94 sensors failed due to Reference print issue 
27 sensors failed due to Fibres 
22 sensors failed due to Measurement error/No Measurement 
18 sensors failed due to Height 
15 sensors failed due to Bent Tabs/Bent Needles/Bent sheet 
7 Sensors were removed from the sheet - These are not Screen print fails ","Z32A-566, Z32A-567, Z32A-568, Z32A-569, Z32A-570, Z32A-571, Z32A-572, Z32A-573, Z32A-574, Z32A-575, Z32A-576","||*Sensor*||*Failure Mode*||
|Z32A-566-A4|Fibre|
|Z32A-566-B2|No Measurements|
|Z32A-566-D3|Print Incomplete or Missing|
|Z32A-566-D4|Print Incomplete or Missing|
|Z32A-566-D7|Fibre|
|Z32A-566-E1|Print Incomplete or Missing|
|Z32A-566-E2|Print Incomplete or Missing|
|Z32A-566-E3|Print Incomplete or Missing|
|Z32A-566-E4|Sensor Removed|
|Z32A-566-E8|Background Measurement Interference|
|Z32A-566-F1|Print Incomplete or Missing|
|Z32A-566-F2|Print Incomplete or Missing|
|Z32A-566-F3|Print Incomplete or Missing|
|Z32A-566-F4|Fibre|
|Z32A-567-A1|No Measurements|
|Z32A-567-B1|Fibre|
|Z32A-567-B5|Measurement Error|
|Z32A-567-B7|Sensor Removed|
|Z32A-567-D3|Print Incomplete or Missing|
|Z32A-567-D4|Print Incomplete or Missing|
|Z32A-567-D8|No Measurements|
|Z32A-567-E1|Print Incomplete or Missing|
|Z32A-567-E2|Print Incomplete or Missing|
|Z32A-567-E3|Print Incomplete or Missing|
|Z32A-567-E6|Fibre|
|Z32A-567-F1|Print Incomplete or Missing|
|Z32A-567-F2|Print Incomplete or Missing|
|Z32A-567-F3|Print Incomplete or Missing|
|Z32A-568-A6|Height |
|Z32A-568-C1|Height |
|Z32A-568-D1|No Measurements|
|Z32A-568-D2|No Measurements|
|Z32A-568-D3|Print Incomplete or Missing|
|Z32A-568-D4|Print Incomplete or Missing|
|Z32A-568-E1|Print Incomplete or Missing|
|Z32A-568-E2|Print Incomplete or Missing|
|Z32A-568-E3|Print Incomplete or Missing|
|Z32A-568-E8|Background Measurement Interference|
|Z32A-568-F1|Print Incomplete or Missing|
|Z32A-568-F2|Print Incomplete or Missing|
|Z32A-568-F3|Print Incomplete or Missing|
|Z32A-568-F6|Measurement Error|
|Z32A-568-F8|Height |
|Z32A-569-A2|Bent Sheet - Blurry Images|
|Z32A-569-A3|Bent Sheet - Blurry Images|
|Z32A-569-B1|Sensor Removed|
|Z32A-569-B2|Measurement Error|
|Z32A-569-B3|Height |
|Z32A-569-C1|Fibre|
|Z32A-569-C8|Sensor Removed|
|Z32A-569-D3|Print Incomplete or Missing|
|Z32A-569-D4|Print Incomplete or Missing|
|Z32A-569-E1|Print Incomplete or Missing|
|Z32A-569-E2|Print Incomplete or Missing|
|Z32A-569-E3|Print Incomplete or Missing|
|Z32A-569-E6|Height |
|Z32A-569-F2|Print Incomplete or Missing|
|Z32A-569-F3|Print Incomplete or Missing|
|Z32A-569-F7|Height |
|Z32A-570-A3|No Measurements|
|Z32A-570-A6|Fibre|
|Z32A-570-A7|Fibre|
|Z32A-570-B7|Bent Tab |
|Z32A-570-B8|Bent Sheet - Blurry Images|
|Z32A-570-C5|No Measurements|
|Z32A-570-C6|Bent Sheet - Blurry Images|
|Z32A-570-C7|Bent Sheet - Blurry Images|
|Z32A-570-D3|Print Incomplete or Missing|
|Z32A-570-D4|Print Incomplete or Missing|
|Z32A-570-D5|Fibre|
|Z32A-570-D6|Fibre|
|Z32A-570-D7|Fibre|
|Z32A-570-D8|Print Incomplete or Missing|
|Z32A-570-E1|Print Incomplete or Missing|
|Z32A-570-E2|Print Incomplete or Missing|
|Z32A-570-E3|Print Incomplete or Missing|
|Z32A-570-E5|Bent Sheet - Blurry Images|
|Z32A-570-E6|No Measurements|
|Z32A-570-E7|Measurement Error|
|Z32A-570-E8|Fibre|
|Z32A-570-F1|Print Incomplete or Missing|
|Z32A-570-F2|Print Incomplete or Missing|
|Z32A-570-F3|Print Incomplete or Missing|
|Z32A-570-F7|Fibre|
|Z32A-571-A3|No Measurements|
|Z32A-571-A4|Bent Tab |
|Z32A-571-A5|Bent Tab |
|Z32A-571-A7|Height |
|Z32A-571-A8|Height |
|Z32A-571-B1|Bent Needle |
|Z32A-571-B2|Height |
|Z32A-571-B3|Sensor Removed|
|Z32A-571-B5|Bent Needle |
|Z32A-571-C2|No Measurements|
|Z32A-571-C3|Bent Tab |
|Z32A-571-D2|No Measurements|
|Z32A-571-D3|Bent Tab |
|Z32A-571-D4|Print Incomplete or Missing|
|Z32A-571-D8|Print Incomplete or Missing|
|Z32A-571-E1|Print Incomplete or Missing|
|Z32A-571-E2|Print Incomplete or Missing|
|Z32A-571-E3|Print Incomplete or Missing|
|Z32A-571-E8|Print Incomplete or Missing|
|Z32A-571-F1|Print Incomplete or Missing|
|Z32A-571-F2|Print Incomplete or Missing|
|Z32A-571-F3|Print Incomplete or Missing|
|Z32A-571-F8|Fibre|
|Z32A-572-A1|Height |
|Z32A-572-A2|Fibre|
|Z32A-572-A3|No Measurements|
|Z32A-572-C1|Fibre|
|Z32A-572-C4|Height |
|Z32A-572-D2|Print Incomplete or Missing|
|Z32A-572-D3|Print Incomplete or Missing|
|Z32A-572-D4|Print Incomplete or Missing|
|Z32A-572-D8|Fibre|
|Z32A-572-E1|Print Incomplete or Missing|
|Z32A-572-E2|Print Incomplete or Missing|
|Z32A-572-E3|Print Incomplete or Missing|
|Z32A-572-F2|Print Incomplete or Missing|
|Z32A-572-F3|Print Incomplete or Missing|
|Z32A-572-F5|No Measurements|
|Z32A-573-A1|Height |
|Z32A-573-A2|No Measurements|
|Z32A-573-A7|Height |
|Z32A-573-B7|Fibre|
|Z32A-573-C8|Fibre|
|Z32A-573-D1|Print Incomplete or Missing|
|Z32A-573-D3|Print Incomplete or Missing|
|Z32A-573-D4|Print Incomplete or Missing|
|Z32A-573-D6|Fibre|
|Z32A-573-E1|Print Incomplete or Missing|
|Z32A-573-E2|Print Incomplete or Missing|
|Z32A-573-E3|Print Incomplete or Missing|
|Z32A-573-E4|Sensor Removed|
|Z32A-573-F1|Print Incomplete or Missing|
|Z32A-573-F2|Print Incomplete or Missing|
|Z32A-573-F3|Print Incomplete or Missing|
|Z32A-573-F4|No Measurements|
|Z32A-574-B4|No Measurements|
|Z32A-574-C1|Height |
|Z32A-574-C4|No Measurements|
|Z32A-574-C8|Fibre|
|Z32A-574-D1|No Measurements|
|Z32A-574-D3|Print Incomplete or Missing|
|Z32A-574-D4|Print Incomplete or Missing|
|Z32A-574-E1|Print Incomplete or Missing|
|Z32A-574-E2|Print Incomplete or Missing|
|Z32A-574-E3|Print Incomplete or Missing|
|Z32A-574-E4|Print Incomplete or Missing|
|Z32A-574-E5|Fibre|
|Z32A-574-F1|Print Incomplete or Missing|
|Z32A-574-F2|Print Incomplete or Missing|
|Z32A-574-F3|Print Incomplete or Missing|
|Z32A-574-F4|Print Incomplete or Missing|
|Z32A-574-F7|Fibre|
|Z32A-575-A5|Height |
|Z32A-575-A8|No Measurements|
|Z32A-575-B4|Fibre|
|Z32A-575-B8|Height |
|Z32A-575-D3|Print Incomplete or Missing|
|Z32A-575-D4|Print Incomplete or Missing|
|Z32A-575-E1|Print Incomplete or Missing|
|Z32A-575-E2|Print Incomplete or Missing|
|Z32A-575-E3|Print Incomplete or Missing|
|Z32A-575-E5|Fibre|
|Z32A-575-F1|Print Incomplete or Missing|
|Z32A-575-F2|Print Incomplete or Missing|
|Z32A-575-F3|Print Incomplete or Missing|
|Z32A-575-F4|Print Incomplete or Missing|
|Z32A-576-A5|Fibre|
|Z32A-576-B7|Fibre|
|Z32A-576-D3|Print Incomplete or Missing|
|Z32A-576-D4|Print Incomplete or Missing|
|Z32A-576-E1|Print Incomplete or Missing|
|Z32A-576-E2|Print Incomplete or Missing|
|Z32A-576-E3|Print Incomplete or Missing|
|Z32A-576-E4|Print Incomplete or Missing|
|Z32A-576-E5|Fibre|
|Z32A-576-F1|Print Incomplete or Missing|
|Z32A-576-F2|Print Incomplete or Missing|
|Z32A-576-F4|Print Incomplete or Missing|
|Z32A-576-F7|Bent Tab |",
QAG - Wearable Line - Dispense,QAG-457,35024,LN-Q00185,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Release,18/Dec/25 9:06 AM,31.0,17.0,"This sheet was a practice sheet for Techs. We will progress good dispensed sensors into the tip today {{2025-12-18}} to boost the number of Clinical sensors. I have passed 17 sensor upon review of the lot report. 

3 Sensors I have flagged for SME review. 

I have failed 14 sensors in this lot 
2 Sensors failed for Blurred Image 
8 Sensors failed for Coffee ring Dispense 
2 Sensors failed for Fibres 
1 Sensor failed for Poor print 
1 Sensor failed for No visual Dispense 

After SME Review 17 Sensors have been failed and 14 sensors will progress. 
",Z32A-559,"||*Sensor*||*Failure Mode*||
|Z32A-559-B8|Lumps|
|Z32A-559-C2|Fibre|
|Z32A-559-C3|Bent Sheet - Blurry Image|
|Z32A-559-C4|Bent Sheet - Blurry Image|
|Z32A-559-C8|Coffee Rings|
|Z32A-559-D1|SME FAIL|
|Z32A-559-D2|SME FAIL|
|Z32A-559-D5|Coffee Rings|
|Z32A-559-D8|Coffee Rings|
|Z32A-559-E4|Fibre|
|Z32A-559-E5|Coffee Rings|
|Z32A-559-E6|Coffee Rings|
|Z32A-559-E7|SME FAIL|
|Z32A-559-E8|No Osmium Dispensed|
|Z32A-559-F4|Coffee Rings|
|Z32A-559-F5|Coffee Rings|
|Z32A-559-F6|Coffee Rings|",
QAG - Wearable Line - Dispense,QAG-456,34973,LN-Q00184,Jack Grattidge,712020:d76c870f-1554-4a60-ad97-2bd47949b182,Disposition,17/Dec/25 8:55 AM,66.0,15.0,"Lot report rejected 26 sensors to start with, upon review of images. I have rejected 15 sensors from this lot. Once SME review is complete, I will update the reject list. 
8 Fails due to Fibres 
2 Fails for Non-centralised spots 
2 Fails for Spots on Dielectric 
2 Fails for Blurry Images
1 Fail for Merging spots 

5 Sensors were removed from the sheet due to Screen print fails. These sensors will be removed from the Dispense lot 

51 sensors approved by QC decision and SME review ","Z32D-580
Z32D-581","||*Sensor*||*Failure Mode*||
|Z32D-580-A1|Removed from sheet|
|Z32D-580-A4|Fibre|
|Z32D-580-A5|Removed from sheet|
|Z32D-580-C1|Fibre|
|Z32D-580-C6|Fibre|
|Z32D-580-D1|Fibre|
|Z32D-580-E1|Fibre|
|Z32D-580-E7|Non-centralized Spots|
|Z32D-580-E8|Removed from sheet|
|Z32D-580-F1|Removed from sheet|
|Z32D-580-F2|Merging Spots|
|Z32D-580-F4|Spots on Dielectric|
|Z32D-581-A1|Bent Sheet - Blurry Image|
|Z32D-581-C1|Fibre|
|Z32D-581-C8|Fibre|
|Z32D-581-D1|Removed from sheet|
|Z32D-581-E1|Fibre|
|Z32D-581-E7|Non-centralized Spots|
|Z32D-581-F1|Poor Dispense|
|Z32D-581-F2|Fibre|",
QAG - Wearable Line - Screen Print,QAG-455,34949,LN-P00182,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Release,15/Dec/25 2:43 PM,144.0,31.0,"144 starting sensors, 5 were pre removed from the lot therefore not imaged. 

139 sensors were imaged and 38 have failed. 

*Process Specific Failures = 5*

* 2 Excessive Ink or Lumps
* 3 Height Failures

*Visual contamination Failures =27*

* 2 Bent Needles
* 4 Bent Sheets that led to blurry imaging
* 1 Bent tab
* 20 fibre

*Imaging System Failures = 6*

* 2 Measurement Errors
* 2 No Measurements
* 2 Background Measurement Interference","Z32D-581

Z32D-582

Z32D-580","||*Sensor ID*||*Failure Mode*||
|Z32D-580-A3|Fibre|
|Z32D-580-B1|Fibre|
|Z32D-580-B4|Fibre|
|Z32D-580-B8|Excessive Ink or Lumps|
|Z32D-580-C5|Bent Tab |
|Z32D-580-C7|Fibre|
|Z32D-580-D5|Fibre|
|Z32D-580-D6|Fibre|
|Z32D-580-D7|Fibre|
|*Z32D-580-E3*|*SME Review*|
|Z32D-580-E6|Height |
|Z32D-580-F3|Bent Needle |
|Z32D-580-F8|Bent Needle |
|Z32D-581-A2|Bent Sheet - Blurry Images|
|Z32D-581-A6|Fibre|
|Z32D-581-A7|Fibre|
|Z32D-581-A8|Bent Sheet - Blurry Images|
|Z32D-581-B6|Fibre|
|Z32D-581-B7|Fibre|
|Z32D-581-C2|Fibre|
|Z32D-581-C4|Fibre|
|Z32D-581-D2|Fibre|
|Z32D-581-E8|Bent Sheet - Blurry Images|
|Z32D-581-F3|Fibre|
|Z32D-581-F4|Fibre|
|Z32D-582-A4|Fibre|
|Z32D-582-C5|Excessive Ink or Lumps|
|Z32D-582-D8|Fibre|
|Z32D-582-E1|Fibre|
|Z32D-582-F3|Fibre|
|Z32D-582-F4|Bent Sheet - Blurry Images|",
